Region,pregnancy19
Mississippi,100
Arkansas,96
North Dakota,96
West Virginia,95
Kentucky,93
Louisiana,93
South Dakota,91
Nebraska,91
Tennessee,91
Alabama,90
Oklahoma,90
Alaska,88
Utah,87
Georgia,87
Indiana,86
Missouri,86
North Carolina,86
Hawaii,84
Texas,84
Wyoming,84
Idaho,84
South Carolina,84
Pennsylvania,84
Kansas,83
Delaware,83
Ohio,82
Michigan,82
New Mexico,82
Maryland,81
Virginia,81
Iowa,80
Nevada,80
Illinois,80
Washington,77
Arizona,77
Minnesota,76
Wisconsin,76
Montana,76
New Jersey,75
Colorado,75
New York,74
California,74
Oregon,73
Connecticut,72
Florida,72
Rhode Island,71
Maine,71
New Hampshire,70
Massachusetts,68
Vermont,66
District of Columbia,64
