Week,clearblue
2016-03-13,53
2016-03-20,61
2016-03-27,50
2016-04-03,49
2016-04-10,64
2016-04-17,52
2016-04-24,35
2016-05-01,65
2016-05-08,45
2016-05-15,58
2016-05-22,39
2016-05-29,66
2016-06-05,55
2016-06-12,82
2016-06-19,51
2016-06-26,43
2016-07-03,41
2016-07-10,62
2016-07-17,100
2016-07-24,69
2016-07-31,53
2016-08-07,61
2016-08-14,47
2016-08-21,61
2016-08-28,54
2016-09-04,51
2016-09-11,66
2016-09-18,51
2016-09-25,55
2016-10-02,55
2016-10-09,45
2016-10-16,68
2016-10-23,49
2016-10-30,61
2016-11-06,39
2016-11-13,36
2016-11-20,38
2016-11-27,40
2016-12-04,35
2016-12-11,53
2016-12-18,50
2016-12-25,44
2017-01-01,67
2017-01-08,48
2017-01-15,57
2017-01-22,61
2017-01-29,50
2017-02-05,63
2017-02-12,59
2017-02-19,59
2017-02-26,51
2017-03-05,43
2017-03-12,50
2017-03-19,55
2017-03-26,68
2017-04-02,46
2017-04-09,33
2017-04-16,53
2017-04-23,55
2017-04-30,58
2017-05-07,56
2017-05-14,63
2017-05-21,49
2017-05-28,71
2017-06-04,56
2017-06-11,54
2017-06-18,49
2017-06-25,56
2017-07-02,56
2017-07-09,59
2017-07-16,57
2017-07-23,64
2017-07-30,49
2017-08-06,57
2017-08-13,52
2017-08-20,58
2017-08-27,42
2017-09-03,41
2017-09-10,56
2017-09-17,53
2017-09-24,63
2017-10-01,48
2017-10-08,46
2017-10-15,58
2017-10-22,69
2017-10-29,58
2017-11-05,81
2017-11-12,72
2017-11-19,63
2017-11-26,46
2017-12-03,48
2017-12-10,48
2017-12-17,43
2017-12-24,44
2017-12-31,54
2018-01-07,54
2018-01-14,74
2018-01-21,56
2018-01-28,66
2018-02-04,55
2018-02-11,70
2018-02-18,55
2018-02-25,49
2018-03-04,59
2018-03-11,50
2018-03-18,69
2018-03-25,56
2018-04-01,70
2018-04-08,49
2018-04-15,70
2018-04-22,55
2018-04-29,51
2018-05-06,48
2018-05-13,47
2018-05-20,50
2018-05-27,52
2018-06-03,48
2018-06-10,49
2018-06-17,58
2018-06-24,54
2018-07-01,43
2018-07-08,57
2018-07-15,45
2018-07-22,63
2018-07-29,69
2018-08-05,56
2018-08-12,50
2018-08-19,50
2018-08-26,50
2018-09-02,49
2018-09-09,59
2018-09-16,47
2018-09-23,61
2018-09-30,64
2018-10-07,45
2018-10-14,47
2018-10-21,58
2018-10-28,57
2018-11-04,44
2018-11-11,46
2018-11-18,38
2018-11-25,62
2018-12-02,59
2018-12-09,45
2018-12-16,54
2018-12-23,51
2018-12-30,48
2019-01-06,75
2019-01-13,78
2019-01-20,61
2019-01-27,51
2019-02-03,55
2019-02-10,59
2019-02-17,65
2019-02-24,42
2019-03-03,47
2019-03-10,64
2019-03-17,64
2019-03-24,51
2019-03-31,62
2019-04-07,75
2019-04-14,55
2019-04-21,43
2019-04-28,65
2019-05-05,61
2019-05-12,53
2019-05-19,45
2019-05-26,45
2019-06-02,54
2019-06-09,45
2019-06-16,52
2019-06-23,54
2019-06-30,71
2019-07-07,74
2019-07-14,58
2019-07-21,70
2019-07-28,71
2019-08-04,64
2019-08-11,52
2019-08-18,56
2019-08-25,50
2019-09-01,61
2019-09-08,50
2019-09-15,57
2019-09-22,58
2019-09-29,56
2019-10-06,52
2019-10-13,42
2019-10-20,36
2019-10-27,51
2019-11-03,68
2019-11-10,69
2019-11-17,58
2019-11-24,57
2019-12-01,38
2019-12-08,42
2019-12-15,48
2019-12-22,50
2019-12-29,81
2020-01-05,58
2020-01-12,42
2020-01-19,54
2020-01-26,66
2020-02-02,56
2020-02-09,64
2020-02-16,58
2020-02-23,59
2020-03-01,36
2020-03-08,46
2020-03-15,43
2020-03-22,52
2020-03-29,53
2020-04-05,48
2020-04-12,61
2020-04-19,55
2020-04-26,60
2020-05-03,63
2020-05-10,57
2020-05-17,64
2020-05-24,46
2020-05-31,49
2020-06-07,51
2020-06-14,70
2020-06-21,62
2020-06-28,53
2020-07-05,68
2020-07-12,60
2020-07-19,61
2020-07-26,72
2020-08-02,64
2020-08-09,72
2020-08-16,68
2020-08-23,69
2020-08-30,49
2020-09-06,37
2020-09-13,68
2020-09-20,60
2020-09-27,55
2020-10-04,50
2020-10-11,87
2020-10-18,54
2020-10-25,73
2020-11-01,53
2020-11-08,53
2020-11-15,45
2020-11-22,48
2020-11-29,57
2020-12-06,55
2020-12-13,74
2020-12-20,44
2020-12-27,58
2021-01-03,39
2021-01-10,65
2021-01-17,67
2021-01-24,49
2021-01-31,66
2021-02-07,64
2021-02-14,59
2021-02-21,64
2021-02-28,63
2021-03-07,55
