Week,clearblue19
2019-01-06,63
2019-01-13,56
2019-01-20,51
2019-01-27,67
2019-02-03,59
2019-02-10,56
2019-02-17,57
2019-02-24,58
2019-03-03,64
2019-03-10,57
2019-03-17,48
2019-03-24,57
2019-03-31,57
2019-04-07,66
2019-04-14,52
2019-04-21,50
2019-04-28,57
2019-05-05,49
2019-05-12,53
2019-05-19,49
2019-05-26,60
2019-06-02,38
2019-06-09,54
2019-06-16,62
2019-06-23,68
2019-06-30,84
2019-07-07,66
2019-07-14,67
2019-07-21,70
2019-07-28,100
2019-08-04,82
2019-08-11,65
2019-08-18,69
2019-08-25,56
2019-09-01,59
2019-09-08,76
2019-09-15,59
2019-09-22,47
2019-09-29,52
2019-10-06,51
2019-10-13,51
2019-10-20,46
2019-10-27,61
2019-11-03,64
2019-11-10,60
2019-11-17,75
2019-11-24,55
2019-12-01,55
2019-12-08,47
2019-12-15,36
2019-12-22,51
2019-12-29,63
