Week,morningsickness19
2019-01-06,93
2019-01-13,91
2019-01-20,83
2019-01-27,82
2019-02-03,94
2019-02-10,93
2019-02-17,97
2019-02-24,90
2019-03-03,75
2019-03-10,86
2019-03-17,76
2019-03-24,95
2019-03-31,85
2019-04-07,87
2019-04-14,79
2019-04-21,81
2019-04-28,75
2019-05-05,79
2019-05-12,76
2019-05-19,79
2019-05-26,92
2019-06-02,86
2019-06-09,73
2019-06-16,91
2019-06-23,97
2019-06-30,75
2019-07-07,87
2019-07-14,100
2019-07-21,91
2019-07-28,74
2019-08-04,99
2019-08-11,97
2019-08-18,91
2019-08-25,70
2019-09-01,71
2019-09-08,77
2019-09-15,76
2019-09-22,84
2019-09-29,84
2019-10-06,73
2019-10-13,81
2019-10-20,73
2019-10-27,76
2019-11-03,85
2019-11-10,75
2019-11-17,87
2019-11-24,75
2019-12-01,78
2019-12-08,75
2019-12-15,75
2019-12-22,77
2019-12-29,91
