Week,pregnancy
2016-03-13,92
2016-03-20,92
2016-03-27,94
2016-04-03,92
2016-04-10,95
2016-04-17,91
2016-04-24,92
2016-05-01,92
2016-05-08,94
2016-05-15,94
2016-05-22,93
2016-05-29,92
2016-06-05,93
2016-06-12,88
2016-06-19,89
2016-06-26,91
2016-07-03,95
2016-07-10,98
2016-07-17,96
2016-07-24,96
2016-07-31,92
2016-08-07,89
2016-08-14,88
2016-08-21,93
2016-08-28,87
2016-09-04,91
2016-09-11,91
2016-09-18,87
2016-09-25,89
2016-10-02,84
2016-10-09,90
2016-10-16,91
2016-10-23,89
2016-10-30,86
2016-11-06,80
2016-11-13,87
2016-11-20,79
2016-11-27,89
2016-12-04,87
2016-12-11,83
2016-12-18,87
2016-12-25,89
2017-01-01,93
2017-01-08,91
2017-01-15,93
2017-01-22,94
2017-01-29,97
2017-02-05,92
2017-02-12,93
2017-02-19,95
2017-02-26,85
2017-03-05,88
2017-03-12,87
2017-03-19,89
2017-03-26,90
2017-04-02,90
2017-04-09,87
2017-04-16,91
2017-04-23,89
2017-04-30,88
2017-05-07,89
2017-05-14,89
2017-05-21,88
2017-05-28,92
2017-06-04,93
2017-06-11,94
2017-06-18,96
2017-06-25,95
2017-07-02,94
2017-07-09,97
2017-07-16,95
2017-07-23,96
2017-07-30,93
2017-08-06,91
2017-08-13,91
2017-08-20,91
2017-08-27,83
2017-09-03,83
2017-09-10,85
2017-09-17,86
2017-09-24,92
2017-10-01,86
2017-10-08,89
2017-10-15,88
2017-10-22,86
2017-10-29,91
2017-11-05,85
2017-11-12,90
2017-11-19,82
2017-11-26,91
2017-12-03,85
2017-12-10,90
2017-12-17,87
2017-12-24,93
2017-12-31,98
2018-01-07,96
2018-01-14,97
2018-01-21,99
2018-01-28,95
2018-02-04,100
2018-02-11,89
2018-02-18,91
2018-02-25,90
2018-03-04,92
2018-03-11,87
2018-03-18,89
2018-03-25,94
2018-04-01,95
2018-04-08,96
2018-04-15,90
2018-04-22,91
2018-04-29,90
2018-05-06,90
2018-05-13,87
2018-05-20,89
2018-05-27,92
2018-06-03,93
2018-06-10,96
2018-06-17,93
2018-06-24,94
2018-07-01,92
2018-07-08,98
2018-07-15,100
2018-07-22,98
2018-07-29,96
2018-08-05,97
2018-08-12,94
2018-08-19,94
2018-08-26,89
2018-09-02,87
2018-09-09,86
2018-09-16,89
2018-09-23,89
2018-09-30,85
2018-10-07,85
2018-10-14,89
2018-10-21,89
2018-10-28,90
2018-11-04,89
2018-11-11,85
2018-11-18,81
2018-11-25,89
2018-12-02,90
2018-12-09,88
2018-12-16,88
2018-12-23,90
2018-12-30,98
2019-01-06,95
2019-01-13,91
2019-01-20,95
2019-01-27,93
2019-02-03,92
2019-02-10,90
2019-02-17,89
2019-02-24,88
2019-03-03,87
2019-03-10,87
2019-03-17,90
2019-03-24,90
2019-03-31,94
2019-04-07,86
2019-04-14,88
2019-04-21,89
2019-04-28,86
2019-05-05,88
2019-05-12,87
2019-05-19,89
2019-05-26,85
2019-06-02,85
2019-06-09,91
2019-06-16,92
2019-06-23,91
2019-06-30,85
2019-07-07,89
2019-07-14,90
2019-07-21,89
2019-07-28,91
2019-08-04,88
2019-08-11,89
2019-08-18,87
2019-08-25,84
2019-09-01,82
2019-09-08,82
2019-09-15,84
2019-09-22,86
2019-09-29,87
2019-10-06,83
2019-10-13,86
2019-10-20,86
2019-10-27,82
2019-11-03,88
2019-11-10,84
2019-11-17,84
2019-11-24,80
2019-12-01,85
2019-12-08,82
2019-12-15,83
2019-12-22,83
2019-12-29,94
2020-01-05,92
2020-01-12,90
2020-01-19,90
2020-01-26,87
2020-02-02,85
2020-02-09,83
2020-02-16,90
2020-02-23,88
2020-03-01,83
2020-03-08,82
2020-03-15,75
2020-03-22,77
2020-03-29,80
2020-04-05,80
2020-04-12,79
2020-04-19,84
2020-04-26,82
2020-05-03,81
2020-05-10,83
2020-05-17,80
2020-05-24,82
2020-05-31,79
2020-06-07,85
2020-06-14,86
2020-06-21,92
2020-06-28,89
2020-07-05,94
2020-07-12,89
2020-07-19,87
2020-07-26,87
2020-08-02,85
2020-08-09,85
2020-08-16,83
2020-08-23,82
2020-08-30,82
2020-09-06,83
2020-09-13,83
2020-09-20,85
2020-09-27,88
2020-10-04,88
2020-10-11,91
2020-10-18,88
2020-10-25,89
2020-11-01,72
2020-11-08,87
2020-11-15,90
2020-11-22,86
2020-11-29,86
2020-12-06,92
2020-12-13,88
2020-12-20,82
2020-12-27,90
2021-01-03,95
2021-01-10,94
2021-01-17,93
2021-01-24,92
2021-01-31,90
2021-02-07,91
2021-02-14,92
2021-02-21,97
2021-02-28,91
2021-03-07,93
