Week,pregnancy20
2020-01-05,97
2020-01-12,96
2020-01-19,95
2020-01-26,91
2020-02-02,93
2020-02-09,91
2020-02-16,98
2020-02-23,93
2020-03-01,92
2020-03-08,89
2020-03-15,85
2020-03-22,85
2020-03-29,89
2020-04-05,88
2020-04-12,84
2020-04-19,87
2020-04-26,91
2020-05-03,88
2020-05-10,90
2020-05-17,90
2020-05-24,89
2020-05-31,87
2020-06-07,92
2020-06-14,95
2020-06-21,98
2020-06-28,95
2020-07-05,100
2020-07-12,98
2020-07-19,95
2020-07-26,93
2020-08-02,92
2020-08-09,91
2020-08-16,86
2020-08-23,87
2020-08-30,91
2020-09-06,88
2020-09-13,89
2020-09-20,90
2020-09-27,97
2020-10-04,95
2020-10-11,97
2020-10-18,94
2020-10-25,94
2020-11-01,79
2020-11-08,96
2020-11-15,98
2020-11-22,92
2020-11-29,96
2020-12-06,100
2020-12-13,95
2020-12-20,87
2020-12-27,99
