,url,headline,date,time
0,https://factcheck.afp.com/covid-19-vaccination-does-not-invalidate-us-life-insurance-policies,Covid-19 vaccination does not invalidate US life insurance policies,19-03-2021,18:51
1,https://factcheck.afp.com/biden-did-not-fake-comments-reporters-white-house-lawn,Biden did not fake comments to reporters on White House lawn,19-03-2021,00:10
2,https://factcheck.afp.com/pelicans-do-not-cool-down-pushing-spines-out-mouths,Pelicans do not cool down by pushing spines out of mouths,18-03-2021,17:38
3,https://factcheck.afp.com/us-border-authorities-apprehended-many-more-9000-people-2020,"US border authorities apprehended many more than 9,000 people in 2020",17-03-2021,23:22
4,https://factcheck.afp.com/boxing-great-haglers-death-not-linked-covid-19-vaccine,Boxing great Hagler’s death not linked to Covid-19 vaccine,17-03-2021,21:59
5,https://factcheck.afp.com/trump-falsely-claims-border-wall-almost-complete,Trump falsely claims border wall ‘almost complete’,17-03-2021,20:12
6,https://factcheck.afp.com/adult-trans-athlete-did-not-identify-teenager-play-basketball,Adult trans athlete did not identify as teenager to play basketball,16-03-2021,22:39
7,https://factcheck.afp.com/math-doesnt-add-claim-every-american-could-get-1-million-payment,Math doesn’t add up in claim every American could get $1 million payment,16-03-2021,19:20
8,https://factcheck.afp.com/covid-19-relief-act-does-not-include-bonus-us-lawmakers,Covid-19 relief act does not include bonus for US lawmakers,12-03-2021,19:59
9,https://factcheck.afp.com/article-misrepresents-cdc-study-mask-mandate-effectiveness,Article misrepresents CDC study on mask mandate effectiveness,12-03-2021,18:59
10,https://factcheck.afp.com/false-claim-about-covid-19-vaccine-causing-infertility-circulates-online,False claim about Covid-19 vaccine causing infertility circulates online,11-03-2021,22:55
11,https://factcheck.afp.com/misleading-posts-claim-us-covid-relief-plan-costs-every-american-5750,"Misleading posts claim US covid relief plan costs every American $5,750",11-03-2021,22:48
12,https://factcheck.afp.com/biden-did-not-cancel-ice-operation-targeting-sex-traffickers,Biden did not cancel ICE operation targeting sex traffickers,10-03-2021,18:54
13,https://factcheck.afp.com/potato-head-toys-dr-seuss-books-are-not-canceled,"Potato Head toys, Dr. Seuss’ books are not ‘canceled’",05-03-2021,22:59
0,https://factcheck.afp.com/purported-nazi-symbol-stokes-conspiracy-theory-about-cpac-us,Purported Nazi symbol stokes conspiracy theory about CPAC in US,05-03-2021,17:20
1,https://factcheck.afp.com/misleading-video-risks-charging-phone-spreads-worldwide,Misleading video on risks from charging phone spreads worldwide,04-03-2021,19:22
2,https://factcheck.afp.com/kentucky-monastery-covid-19-cases-not-evidence-vaccine-problems,Kentucky monastery Covid-19 cases not evidence of vaccine problems,03-03-2021,23:05
3,https://factcheck.afp.com/manipulated-photo-shows-evangelicals-worshipping-trump-statue,Manipulated photo shows evangelicals worshipping Trump statue,02-03-2021,23:00
4,https://factcheck.afp.com/pelosi-did-not-reject-appeals-troops-secure-us-capitol,Pelosi did not reject appeals for troops to secure US Capitol,03-03-2021,21:38
5,https://factcheck.afp.com/satirical-post-shared-belief-biden-pardoned-blm-protesters,Satirical post shared in belief Biden pardoned BLM protesters,26-02-2021,20:56
6,https://factcheck.afp.com/jill-and-joe-bidens-love-story-did-not-start-when-she-was-15,Jill and Joe Biden’s love story did not start when she was 15,25-02-2021,23:28
