,url,headline,date,claim
0,https://apnews.com/article/fact-checking-afs:Content:9997260693,Posts online misrepresent Pfizer vaccine ingredients ,19-03-2021,"CLAIM: The Pfizer vaccine contains potassium chloride, which is also used in executions by lethal injection."
1,https://apnews.com/article/fact-checking-afs:Content:9982884730,Video of Biden with reporters was not digitally altered,17-03-2021,"CLAIM: Video of President Joe Biden was digitally altered to make it appear that he spoke to the press on the South Lawn of the White House in Washington on March 16, and a blurry microphone in..."
2,https://apnews.com/article/fact-checking-afs:Content:10000507383,Racist Facebook post attributed to Atlanta shooting suspect is false,17-03-2021,"THE CLAIM: On Tuesday, hours before police say Robert Aaron Long, 21, killed eight people at three Atlanta-area massage businesses, he posted on his Facebook that China was engaged in a “COVID..."
3,https://apnews.com/article/fact-checking-afs:Content:9981798074,Misleading claims swirl around US election overhaul bill,17-03-2021,"As Congress considers a sweeping bid to overhaul United States election laws, social media users are using inflammatory graphics to spread misinformation about it."
4,https://apnews.com/article/fact-checking-afs:Content:9991020426,US and EU COVID vaccines don’t contain aluminum,16-03-2021,"CLAIM: COVID-19 vaccines contain aluminum, a toxic ingredient that enters the brain and causes disease."
5,https://apnews.com/article/fact-checking-afs:Content:9987564288,"Columbia University holds a main graduation, as well as smaller ceremonies",16-03-2021,"CLAIM: Columbia University is holding separate student graduation ceremonies based on race, income and sexual orientation. "
6,https://apnews.com/article/fact-checking-afs:Content:9981703952,"Claim that 9,000 border crossers were apprehended in 2020 is false",16-03-2021,"CLAIM: In all of 2020, there were only 9,000 immigrants caught at the border without legal status. So far in 2021,108,000 entered the country. "
7,https://apnews.com/article/fact-checking-afs:Content:9998625868,Gas prices in viral photos don’t reflect Los Angeles average,16-03-2021,CLAIM: Photos showing gasoline listed at more than $5 per gallon in Los Angeles show how much gas prices have risen under President Joe Biden.
8,https://apnews.com/article/fact-checking-afs:Content:9961724275,"Under Biden, US still expels many migrants at border",15-03-2021,CLAIM: President Joe Biden is not screening immigrants for COVID-19 at the border and is allowing “everyone in no matter what.”
9,https://apnews.com/article/fact-checking-afs:Content:10009963678,Getting COVID-19 vaccine does not affect life insurance death payments,15-03-2021,"CLAIM: If you receive the COVID-19 vaccine and die, insurance companies will not pay out on the policy because the vaccine is experimental. "
10,https://apnews.com/article/fact-checking-afs:Content:9981703585,Image of ‘sunset on Mars’ is an illustration,15-03-2021,CLAIM: An image shows the first photograph ever taken of a sunset on Mars.
11,https://apnews.com/article/fact-checking-afs:Content:10007890098,Video spreads false information about COVID-19 vaccines ,12-03-2021,"A video making the rounds on social media is sharing false information about how the COVID-19 vaccines were made and questions their safety and efficacy. The misleading video, which is titled,..."
12,https://apnews.com/article/fact-checking-afs:Content:9982725884,Immigrants without Social Security numbers are not eligible for stimulus checks ,12-03-2021,"CLAIM: “Illegal aliens” will receive a $1,400 stimulus check through the COVID-19 relief bill. "
13,https://apnews.com/article/fact-checking-afs:Content:9963699772,Posts misrepresent CDC study on mask mandates,11-03-2021,CLAIM: A new study from the U.S. Centers for Disease Control and Prevention found that mask mandates have a negligible impact on coronavirus numbers.
14,https://apnews.com/article/fact-checking-afs:Content:9994785135,Article makes false claims about mRNA vaccines and cancer,11-03-2021,"CLAIM: A study by scientists at Sloan Kettering discovered Messenger RNA inactivates tumor suppressing proteins, meaning that COVID-19 mRNA vaccines can cause cancer. "
15,https://apnews.com/article/fact-checking-afs:Content:9975651996,Hospital did not fake vaccination of Anthony Hopkins,10-03-2021,"CLAIM: Video shows a nurse pretending to vaccinate actor Anthony Hopkins for COVID-19, but actually squirting the solution in the syringe onto the ground."
16,https://apnews.com/article/fact-checking-afs:Content:9977520062,"Maricopa County ballots are secured in a vault, not shredded in trash",10-03-2021,
17,https://apnews.com/article/fact-checking-afs:Content:9977461218,Social media posts misrepresent bill expanding background checks for firearms,09-03-2021,CLAIM: Proposed federal gun legislation expanding background checks for firearms would create a “national registration of firearms” and put gun owners in jail for transferring or handing their gun...
18,https://apnews.com/article/fact-checking-afs:Content:9989035329,House members were not given bonuses in $1.9T COVID bill,09-03-2021,CLAIM: The $1.9 trillion COVID-19 relief bill awards a $25 million bonus to members of the House of Representatives. 
19,https://apnews.com/article/fact-checking-afs:Content:9992307890,"Apes in San Diego received COVID-19 animal vaccine, not human doses",08-03-2021,CLAIM: Great apes in San Diego are getting the coronavirus vaccine while veterans and senior citizens who want it are still unable to get it.
20,https://apnews.com/article/fact-checking-afs:Content:9996141232,Video misrepresents Fauci’s comments on vaccine effectiveness,06-03-2021,"CLAIM: Dr. Anthony Fauci said on CNN that COVID-19 vaccines will protect you 94-95% against clinically recognizable disease and almost 100% against severe disease, but did not say the vaccine will..."
21,https://apnews.com/article/fact-checking-afs:Content:9959383728,"Vaccines are needed to end the pandemic, prevent serious illness",04-03-2021,CLAIM: There is absolutely no need for vaccines to extinguish the pandemic and people who aren’t at risk from the disease should not be vaccinated. 
22,https://apnews.com/article/fact-checking-afs:Content:9985050026,Boston schools aren’t suspending advanced classes,04-03-2021,CLAIM: Administrators at Boston Public Schools are suspending advanced classes for students in fourth through sixth grades because of concerns over racial inequities.
23,https://apnews.com/article/fact-checking-afs:Content:9988483554,Biden did answer questions from House Democrats at virtual event,04-03-2021,CLAIM: The White House cut President Joe Biden’s feed at a virtual event with top House Democrats because they did not have confidence in him answering questions.  
24,https://apnews.com/article/fact-checking-afs:Content:9967221361,No evidence Pelosi invested $1.5 million in ‘foreign oil stock’ ,03-03-2021,CLAIM: House Speaker Nancy Pelosi bought $1.5 million in “foreign oil stock” before President Joe Biden halted construction of the Keystone XL pipeline. 
25,https://apnews.com/article/fact-checking-afs:Content:9973590969,Old video used to misrepresent Fauci position on virus testing,03-03-2021,"CLAIM: Dr. Anthony Fauci, the nation's top infectious-disease expert, said on CNN that because he has no symptoms related to the new coronavirus there is no reason for him to be tested for it...."
26,https://apnews.com/article/fact-checking-afs:Content:9957701253,Left-wing protesters didn’t ‘storm’ Georgia Capitol,02-03-2021,CLAIM: Video shows left-wing protesters storming Georgia’s Capitol building in Atlanta or engaging in an insurrection over a bill that would require photo ID for absentee voting.
27,https://apnews.com/article/fact-checking-afs:Content:9960958416,Video makes false claims about Morgellons disease and COVID-19 tests,02-03-2021,CLAIM: Nasal swabs used for COVID-19 tests contain Morgellons disease fibers that are being put in your brain when you are tested for the virus. 
28,https://apnews.com/article/fact-checking-afs:Content:9960955445,Photo does not show Great Sphinx covered in snow,01-03-2021,CLAIM: Photo shows the statue of the Great Sphinx of Giza covered in snow.
29,https://apnews.com/article/fact-checking-afs:Content:9972568069,Photo of people praying over golden Trump statue is fabricated,01-03-2021,CLAIM: Photo shows six people praying over a golden idol of former President Donald Trump.
30,https://apnews.com/article/fact-checking-afs:Content:9970717596,ID checks not required to enter the District of Columbia,01-03-2021,CLAIM: Anyone trying to enter the District of Columbia right now must pass a mandatory identification check. 
31,https://apnews.com/article/fact-checking-afs:Content:9970724533,Claim of ‘kids in cages’ hypocrisy is missing context,26-02-2021,THE CLAIM: The same people who criticized how immigrant children were treated under the Trump administration and claimed Trump put “kids in cages” are now okay with the Biden administration doing...
32,https://apnews.com/article/fact-checking-afs:Content:9984432844,Ocasio-Cortez criticized both Trump and Biden for immigrant youth conditions,26-02-2021,"CLAIM: Democratic Rep. Alexandria Ocasio-Cortez of New York protested the treatment of immigrant children when Donald Trump was president and said he was putting “kids in cages.” Now, President..."
33,https://apnews.com/article/fact-checking-afs:Content:9985851403,Biden didn’t reinstate funding for Wuhan virus lab,25-02-2021,CLAIM: President Joe Biden restored taxpayer funding for the Wuhan Institute of Virology.
34,https://apnews.com/article/fact-checking-afs:Content:9974410854,"Supposed image of Earth, Venus and Jupiter from Mars is computer generated",24-02-2021,"CLAIM: Photo captured on the surface of Mars shows Earth, Venus and Jupiter lined up in a row in space."
35,https://apnews.com/article/fact-checking-afs:Content:9958902169,Biden didn’t tweet about Coca-Cola ‘cultural reappropriation’,24-02-2021,"CLAIM: President Joe Biden tweeted that he was “proud” to see Coca-Cola educate its staff in “cultural reappropriation,” because white and Black people talk in different ways. "
