,url,headline,review,date
0,https://factcheck.thedispatch.com/p/did-the-washington-post-correct-a,Did the Washington Post Correct a Report About Trump’s Call With the Georgia Secretary of S…,No. The correction was to an article about Trump’s call with a different official.,18-03-2021
1,https://factcheck.thedispatch.com/p/do-60-percent-of-republicans-support,Do 60 Percent of Republicans Support the $1.9 Trillion COVID Relief Package?,It depends on which poll you read.,12-03-2021
2,https://factcheck.thedispatch.com/p/did-a-california-mayor-pro-tempore,Did a California Mayor Pro Tempore Plead Guilty to Election Fraud?,He violated state law by not meeting residency requirements. He was not accused of any ballot tampering or vote manipulation.,11-03-2021
3,https://factcheck.thedispatch.com/p/did-oprah-winfrey-pimp-young-girls,Did Oprah Winfrey ‘Pimp’ Young Girls to Convicted Sex Offender Harvey Weinstein?,No.,11-03-2021
4,https://factcheck.thedispatch.com/p/is-the-effort-to-recall-gavin-newsom,Is the Effort to Recall Gavin Newsom About ‘Telling People to Wear Masks’?,A Bernie Sanders tweet gets some facts about the recall petition wrong.,09-03-2021
5,https://factcheck.thedispatch.com/p/did-navy-seals-loyal-to-president,Did Navy SEALs Loyal to President Trump Arrest Hillary Clinton?,No.,09-03-2021
6,https://factcheck.thedispatch.com/p/was-the-cpac-stage-designed-to-look,Was the CPAC Stage Designed to Look Like Nazi Insignia?,There is no evidence to support the claim.,09-03-2021
7,https://factcheck.thedispatch.com/p/did-evangelical-leaders-pray-over,Did Evangelical Leaders Pray Over the Golden Trump Statue at CPAC?,No.,02-03-2021
8,https://factcheck.thedispatch.com/p/did-merrick-garland-say-antifa-attacks,Did Merrick Garland Deny Antifa Attacks Were Domestic Terrorism Because They Happened at Ni…,The attorney general nominee drew a distinction between events that disrupt democratic processes and those that entail property damage.,01-03-2021
9,https://factcheck.thedispatch.com/p/did-joe-biden-revoke-the-keystone,Did Joe Biden Revoke the Keystone Pipeline Permit to Help Warren Buffett?,There is no evidence to support this claim.,01-03-2021
10,https://factcheck.thedispatch.com/p/does-mask-wearing-cause-hypoxia-or,Does Mask-Wearing Cause Hypoxia or Pneumonia?,No.,01-03-2021
11,https://factcheck.thedispatch.com/p/does-a-report-prove-that-dominion,Does a Report Prove That Dominion Voting Machines Were ‘Designed’ to Create Fraud?,"No. The report is not new, and it is not evidence of election fraud.",01-03-2021
