,url,headline,details,date
0,https://www.factcheck.org/2021/03/scicheck-instagram-post-misrepresents-fda-document-about-monitoring-vaccine-safety/,Instagram Post Misrepresents FDA Document About Monitoring Vaccine Safety,"A Food and Drug Administration presentation on monitoring the safety of COVID-19 vaccines listed possible adverse events the agency might track. But an Instagram post misrepresents the document, falsely claiming it shows the vaccines are known to cause harmful side effects — including death.",17-03-2021
1,https://www.factcheck.org/2021/03/scicheck-haglers-widow-rebuts-rumors-about-how-he-died/,Hagler’s Widow Refutes Rumors About How He Died,"Hall of Fame boxer Marvelous Marvin Hagler “died on March 13 of natural causes,” according to a statement posted on his official website. In a Facebook post, his widow, Kay Hagler, wrote that his death was not the result of a COVID-19 vaccination.",17-03-2021
2,https://www.factcheck.org/2021/03/senator-johnson-distorts-report-on-violence-in-defense-of-his-remarks-on-blm-antifa/,"Senator Johnson Distorts Report on Violence in Defense of His Remarks on BLM, Antifa","In response to critics who found his remarks about the Capitol riot to be racist, Sen. Ron Johnson wrote an op-ed in the Wall Street Journal that distorted a report’s findings on last year’s demonstrations against racial injustice.",16-03-2021
3,https://www.factcheck.org/2021/03/cheneys-misleading-criticism-of-the-covid-19-relief-package/,Cheney’s Misleading Criticism of the COVID-19 Relief Package,"After the Senate passed its version of the American Rescue Plan Act, Republican Rep. Liz Cheney claimed “the result of that package is going to be middle-class tax increases.” The legislation cuts middle-income taxes.",12-03-2021
4,https://www.factcheck.org/2021/03/factchecking-bidens-prime-time-address/,FactChecking Biden’s Prime-Time Address,"In his remarks to the nation after signing the latest COVID-19 relief legislation, President Joe Biden stretched the facts, particularly when boasting of the increase in vaccinations on his watch.",12-03-2021
5,https://www.factcheck.org/2021/03/scicheck-rfk-jr-video-pushes-known-vaccine-misrepresentations/,RFK Jr. Video Pushes Known Vaccine Misrepresentations,"A video stoking fears of the COVID-19 vaccines in the Black community is being promoted online. But the film repeats misrepresentations about vaccines, generally, and exploits historical cases of unethical medical conduct to suggest without evidence that COVID-19 vaccines are unsafe.",11-03-2021
6,https://www.factcheck.org/2021/03/scicheck-video-how-viral-deceptions-spread/,SciCheck Video: How Viral Deceptions Spread,"In this video, SciCheck reviews a case study of how misinformation spreads online.",11-03-2021
7,https://www.factcheck.org/2021/03/factchecking-barrassos-claims-about-stimulus-check-recipients/,FactChecking Barrasso’s Claims About Stimulus Check Recipients,"Sen. John Barrasso of Wyoming defended his vote against the American Rescue Plan Act, in part, by claiming that the legislation would provide $1,400 stimulus checks to prisoners and “illegal immigrants” who shouldn’t receive them.",11-03-2021
8,https://www.factcheck.org/2021/03/manchin-wrong-about-how-many-states-have-7-25-minimum-wage/,Manchin Wrong About How Many States Have $7.25 Minimum Wage,"Sen. Joe Manchin of West Virginia wrongly said “very few … if any” states have a minimum wage at the federally mandated $7.25 per hour. In fact, 21 states do.",09-03-2021
9,https://www.factcheck.org/2021/03/factchecking-cruzs-partisan-spin-on-covid-19-bill/,FactChecking Cruz’s Partisan Spin on COVID-19 Bill,"Sen. Ted Cruz says 91% of the $1.9 trillion American Rescue Plan “is a partisan wish list” for “Democratic special interests.” But he ignores that Republicans offered an alternative $618 billion bill that included many of the same elements of the Democratic plan, albeit in smaller amounts.",05-03-2021
