,url,headline,details,source,rating,date
0,https://healthfeedback.org/claimreview/no-aborted-fetal-tissue-or-cells-in-the-johnson-johnson-covid-19-vaccine/,No aborted fetal tissue or cells in the Johnson & Johnson COVID-19 vaccine,“The Johnson & Johnson vaccine has aborted fetal tissue from aborted babies from the retina as well as from kidney cells”,"Rizza Islam, Instagram",Inaccurate,18-03-2021
1,https://healthfeedback.org/claimreview/covid-19-rna-vaccines-are-safe-cannot-modify-human-dna-death-rate-in-vaccinated-people-arent-higher-than-in-unvaccinated-people/,"COVID-19 RNA vaccines are safe, cannot modify human DNA; death rate in vaccinated people isn’t higher than in unvaccinated people","“The protein then can bind to your DNA and irreversibly change it”; “[It] has several different type of lipids on it that have never been injected into human beings before”; “We could be looking at right now as many as 12,000 deaths”","Sherri Tenpenny, Daystar",Inaccurate,17-03-2021
2,https://healthfeedback.org/claimreview/oxygen-in-the-air-doesnt-prevent-people-from-getting-tetanus-through-cuts-with-dirty-or-rusty-objects-the-vaccine-is-important-to-prevent-infection/,Oxygen in the air doesn’t prevent people from getting tetanus through cuts with dirty or rusty objects; the vaccine is important to prevent infection,"""The tetanus bacteria is an anaerobic bacteria. That means that it cannot live in the presence of oxygen. You cannot get tetanus by stepping on a rusty nail.""","Steven Baker, Facebook",Flawed,15-03-2021
3,https://healthfeedback.org/claimreview/mask-mandates-are-associated-with-reductions-in-the-spread-of-covid-19-cases-and-deaths-contrary-to-one-america-news-article/,Mask mandates are associated with reductions in the spread of COVID-19 cases and deaths; contrary to One America News article,"“CDC: Face Masks Don’t Prevent COVID-19, Study Finds Masks Have Negligible Impact on Coronavirus Numbers,” CDC “admitted such mandates do not make any statistical difference.”","Anonymous, One America News Network",Inaccurate,12-03-2021
4,https://healthfeedback.org/claimreview/vaccines-are-safe-and-arent-associated-with-autoimmune-disease-contrary-to-claim-in-viral-video-by-chiropractor-steven-baker/,"Vaccines are safe and aren’t associated with autoimmune disease, contrary to claim in viral video by chiropractor Steven Baker",“Vaccines cause autoimmune disease”; COVID-19 vaccine will “change your genes”; aborted fetal tissue is in vaccines,"Steven Baker, Facebook",Inaccurate,11-03-2021
5,https://healthfeedback.org/claimreview/data-from-israel-showed-that-the-pfizer-biontech-vaccine-reduces-the-likelihood-of-dying-from-covid-19-analysis-in-a-forum-post-claiming-the-opposite-is-flawed/,Data from Israel showed that the Pfizer-BioNTech vaccine reduces the likelihood of dying from COVID-19; analysis in a forum post claiming the opposite is flawed,"“the Pfizer vaccines, for the elderly, killed during the 5-week vaccination period about 40 times more people than the disease itself would have killed”","Haim Yativ, Children’s Health Defense, GreenMedInfo",Flawed,09-03-2021
6,https://healthfeedback.org/claimreview/covid-19-vaccines-start-to-provide-protection-within-two-weeks-of-the-first-dose-with-no-evidence-they-increase-the-risk-of-infection-before-then-niall-mccrae-gateway-pundit/,"COVID-19 vaccines start to provide protection within two weeks of the first dose, with no evidence they increase the risk of infection before then",“Now a Public Health England report confirms that infections increase during the fortnight after vaccination”,"Niall McCrae, Gateway Pundit",Misleading,09-03-2021
7,https://healthfeedback.org/claimreview/six-residents-in-a-german-nursing-home-died-from-covid-19-not-from-vaccines/,"Six residents in a German nursing home died from COVID-19, not from vaccines",“25% of residents in German nursing home died after Pfizer vaccine”; a team including a soldier in uniform used force to vaccinate residents,"Anonymous, Children’s Health Defense",Misleading,06-03-2021
8,https://healthfeedback.org/claimreview/the-u-s-leads-the-world-in-number-of-covid-19-vaccine-doses-administered-but-not-in-the-proportion-of-the-population-vaccinated/,"The U.S. leads the world in number of COVID-19 vaccine doses administered, but not in the proportion of the population vaccinated","“In five weeks, America has administered the most COVID vaccine shots than any other country in the world.”","Facebook Users, Facebook",Mostly,04-03-2021
9,https://healthfeedback.org/claimreview/yes-covid-19-vaccines-will-help-us-safely-resume-normal-activities-like-going-to-restaurants-and-meeting-people-once-enough-people-are-vaccinated-for-herd-immunity/,"Yes, COVID-19 vaccines will help us safely resume normal activities like going to restaurants and meeting people, once enough people are vaccinated for herd immunity","The COVID-19 vaccines won’t let us stop mask-wearing, physical distancing and restaurants, pubs, and cinemas still remain closed, so why vaccinate?","Facebook users, Telegram, Facebook",Misleading,04-03-2021
0,https://healthfeedback.org/claimreview/no-aborted-fetal-tissue-or-cells-in-the-johnson-johnson-covid-19-vaccine/,No aborted fetal tissue or cells in the Johnson & Johnson COVID-19 vaccine,“The Johnson & Johnson vaccine has aborted fetal tissue from aborted babies from the retina as well as from kidney cells”,"Rizza Islam, Instagram",Inaccurate,18-03-2021
