,url,headline,details,date
0,https://www.reuters.com//article/uk-factcheck-side-effects/fact-check-video-misinterprets-report-into-health-impact-events-after-vaccination-idUSKBN29Q2B6,Fact check: Video misinterprets report into health impact events after vaccination,"Correction, March 11, 2021: An earlier version of this check incorrectly attributed remarks in paragraphs nine and twelve to a spokeswoman from Pfizer. The remarks were in fact made by a spokeswoman from the Centers for Disease Control and Prevention (CDC).",11-03-2021
1,https://www.reuters.com//article/uk-factcheck-covid-developing-homeless/fact-check-covid-19-deaths-have-occurred-in-developing-countries-and-among-the-u-s-homeless-idUSKCN2AW0ZX,Fact check: COVID-19 deaths have occurred in developing countries and among the U.S. homeless,"Social media users have been sharing posts which seek to undermine the global COVID-19 pandemic by claiming that “3rd world countries” have “basically no deaths” due to COVID-19 and that there have been no deaths among homeless people in America. This claim is untrue: although the health impact of COVID-19 on the least developed countries has thus far been less severe than initially expected, there have been COVID-19 deaths recorded in developing countries as well as among the homeless populatio",04-03-2021
2,https://www.reuters.com//article/uk-factcheck-photo-cuomo-womens-march/fact-check-photo-shows-protesters-from-the-2017-womens-march-not-anti-cuomo-demo-idUSKCN2AV2U1,"Fact check: Photo shows protesters from the 2017 Women’s March, not anti-Cuomo demo",Social media users have been sharing a photograph of a large crowd wearing pink hats and claiming that it shows demonstrators calling for the resignation of New York Governor Andrew Cuomo.,03-03-2021
3,https://www.reuters.com//article/uk-factcheck-pubs/fact-check-the-uk-government-said-it-will-review-the-efficacy-and-ethics-of-vaccine-passports-idUSKCN2AV2L1,Fact check: The UK government said it will review the efficacy and ethics of vaccine passports,"A Facebook post claiming the UK government secretly asked pubs and restaurants to sign documents confirming they will enforce COVID-19 vaccine passports has circulated online. The status also claims the government is waiting seven weeks before relaxing lockdown to allow time for the documents to be returned. However, there is no evidence to support this.",03-03-2021
4,https://www.reuters.com//article/uk-factcheck-antigen-control/fact-check-a-positive-control-helps-to-diagnose-faults-in-covid-19-tests-idUSKCN2AV2KR,Fact check: A positive control helps to diagnose faults in COVID-19 tests,A Facebook post with a picture of a positive control for a COVID-19 test misleadingly describes it as a positive test kit and suggests it may be “preloaded with the virus”.,03-03-2021
5,https://www.reuters.com//article/uk-factcheck-baby-named-white-privilege/fact-check-post-claiming-that-a-woman-in-california-named-her-child-white-privilege-was-likely-intended-as-satire-idUSKCN2AV20O,Fact check: Post claiming that a woman in California named her child ‘White Privilege’ was likely intended as satire,"A Facebook post that has received hundreds of comments and shares shows an image of a woman and a child with the text “Californian Mother Names Son ‘White Privilege’ On Birth Certificate.” Featuring a stock image that has been altered to give the mother blue hair and a nose ring, the post appears to be satire. Many individuals, however, seem to be taking it seriously. ",03-03-2021
6,https://www.reuters.com//article/uk-factcheck-virus-vaccination/fact-check-sars-cov-2-was-not-created-so-the-population-would-be-vaccinated-idUSKCN2AV2GT,Fact check: SARS-CoV-2 was not created so the population would be vaccinated,"Social media posts have made the false claim that the coronavirus was created “for the vaccine”, rather than the other way around.",03-03-2021
7,https://www.reuters.com//article/uk-factcheck-giant-skeletons-hoax/fact-check-images-of-alleged-giant-human-skeletons-are-altered-idUSKCN2AV20V,Fact check: Images of alleged giant human skeletons are altered,"Posts in a Facebook group for flat earth conspiracy theorists claim to show images of colossal human remains. Shared as alleged proof that gigantic humans once roamed the planet, these pictures have been altered and are part of an Internet hoax that has been around for more than 15 years.  ",03-03-2021
8,https://www.reuters.com//article/uk-factcheck-israel-temperature/fact-check-video-shows-scanners-checking-temperature-not-vaccination-mark-or-microchip-idUSKCN2AU29I,"Fact check: Video shows scanners checking temperature, not vaccination mark or microchip","Social media users have been sharing posts which claim that a video of people having their hand scanned as they enter a market and a concert proves that vaccines brand people with the “mark of the beast”. This claim is false: the video shows temperature scans unrelated to the vaccine, and Reuters has previously debunked claims that vaccines mark or microchip people.",03-03-2021
9,https://www.reuters.com//article/uk-factcheck-egg-aluminum-microwave/fact-check-eggs-should-not-be-boiled-in-the-microwave-wrapped-in-aluminum-foil-idUSKCN2AV1YX,Fact check: Eggs should not be boiled in the microwave wrapped in aluminum foil,"More than 14,000 social media users have been sharing a post which advises people to wrap eggs in aluminum foil before putting them in the microwave to boil them. However, it is dangerous to put foil in a microwave as it will spark and could cause a fire. Hard-boiled eggs should also not be reheated in a microwave as they will likely explode.  ",03-03-2021
