,url,headline,details,date
0,https://www.usatoday.com//story/news/factcheck/2021/03/18/fact-check-retro-video-predicting-pandemic-made-2020-not-1956/4737852001/,"Fact check: Video predicting pandemic made in 2020, not 1956",,18-03-2021
1,https://www.usatoday.com//story/news/factcheck/2021/03/18/fact-check-no-evidence-oprah-helped-harvey-weinstein-abuse-women/4653717001/,Fact check: Oprah has no link to reports of abuse by Weinstein,A viral social media post falsely claims Oprah Winfrey helped Harvey Weinstein sexually abuse and harass women.,18-03-2021
2,https://www.usatoday.com//story/news/factcheck/2021/03/18/fact-check-yes-people-experiencing-homelessness-eligible-stimulus/4739346001/,Fact check: People experiencing homelessness can get stimulus,"People who are experiencing homelessness can get the $1,400 stimulus if they file a 2020 tax return.",18-03-2021
3,https://www.usatoday.com//story/news/factcheck/2021/03/17/fact-check-journalist-who-filmed-capitol-rioter-not-employed-cnn/4707083001/,Fact check: Photographer who filmed Capitol rioter not linked to CNN,A Facebook post falsely implicated CNN in the Jan. 6 riot at the U.S. Capitol.,18-03-2021
4,https://www.usatoday.com//story/news/factcheck/2021/03/17/fact-check-most-immigrants-us-illegally-wont-get-stimulus-checks/4672623001/,Fact check: Majority of immigrants in US illegally won't get stimulus checks,"A viral Facebook post inaccurately claimed that immigrants who are not legally in the U.S. will receive $1,400 stimulus checks.",18-03-2021
5,https://www.usatoday.com//story/news/factcheck/2021/03/17/fact-check-rogers-quote-big-government-needs-more-context/4590957001/,Fact check: Will Rogers took a stand against government spending?,"A viral 1932 quote from columnist Will Rogers is edited, and doesn't indicate Rogers was writing about a particular movement called technocracy.",17-03-2021
6,https://www.usatoday.com//story/news/factcheck/2021/03/17/fact-check-demand-covid-19-recovery-drive-rising-diesel-prices/4723935001/,Fact check: Demand drives surge in diesel prices,Diesel and gas prices have steadily risen because increased movement and economic activity have increased demand. President Joe Biden isn't to blame.,17-03-2021
7,https://www.usatoday.com//story/news/factcheck/2021/03/17/fact-check-el-chapo-didnt-testify-his-trial-us-court/4639510001/,Fact check: El Chapo did not testify about Pelosi,"Joaquín Guzmán did not testify at his U.S. trial, nor did his defense make any comment on House Speaker Nancy Pelosi. A claim stating that is false.",17-03-2021
9,https://www.usatoday.com//story/news/factcheck/2021/03/16/fact-check-marvin-haglers-death-not-linked-covid-19-vaccine/4704742001/,Fact check: Hagler's death not related to COVID-19 vaccine,Various social media posts have linked boxing legend Marvin Hagler's death to the COVID-19 vaccine. They are false.,17-03-2021
10,https://www.usatoday.com//story/news/factcheck/2021/03/16/fact-check-mars-sunset-first-captured-1976-viking-1-lander/4693243001/,Fact check: Image shows an illustration of sunset on Mars,A viral image shared on social media claiming to be the first image of a sunset on Mars is actually an illustration.,17-03-2021
11,https://www.usatoday.com//story/news/factcheck/2021/03/16/fact-check-perseverance-landing-did-happen-ingenuity-can-fly-mars/6943173002/,Fact check: Mars Perseverance landing did happen,A recent meme posted to Facebook claims the Mars Perseverance mission did not happen because of the planet's atmospheric conditions. This is false.,16-03-2021
12,https://www.usatoday.com//story/news/factcheck/2021/03/16/fact-check-house-speaker-nancy-pelosis-net-worth-inflated-meme/4707087001/,Fact check: Pelosi net worth isn't $196 million,"A Facebook post that claims House Speaker Nancy Pelosi is worth $196 million is false. Using ranges from reports, it may be half that.",17-03-2021
