"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","36860000.6103516","91169998.1689453","39259998.3215332","34889999.3896484","46549999.2370605","48459999.0844727","40229999.5422363","44340000.1525879","38150001.5258789","26889999.3896484","32970001.2207031","25870000.8392334","37340000.1525879","16700000.7629395","-11239999.7711182","19610000.6103516","-2849999.90463257","16219999.3133545","96319999.6948242","-12840000.1525879","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","116769996.643066","232080001.831055","112839996.337891","237720001.220703","295920013.427734","341839996.337891","311609985.351563","247610000.610352","171270004.272461","155229995.727539","164380004.882813","241899993.896484","278799987.792969","250750000","201279998.779297","243979995.727539","249039993.286133","269940002.441406","212190002.441406","249440002.441406","66430000.3051758","54529998.7792969","25200000.7629395","37180000.3051758","18190000.5340576","42549999.2370605","5940000.05722046","86529998.7792969","126980003.356934","253130004.882813","194039993.286133","748539978.027344","299660003.662109","333450012.207031","329350006.103516","270690002.441406","219210006.713867","330470001.220703","238169998.168945","208970001.220703","215800003.051758","682969970.703125","1790479980.46875","1972890014.64844","2681449951.17188","3306389892.57813","3287489990.23438","5218049804.6875","4928439941.40625","6456560058.59375","6424490234.375","6616870117.1875","6505500000","5011049804.6875","4822640136.71875","4479720214.84375","4289649902.34375","3956239990.23438","3792449951.17188","4339979980.46875","",
"Angola","AGO","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","-389999.985694885","282190002.441406","","209999.993443489","","12979999.5422363","30239999.7711182","184899993.896484","59999.9986588955","-1110000.01430511","-460000.00834465","-100000.001490116","660000.026226044","1000000","1679999.94754791","17809999.4659424","59919998.1689453","154580001.831055","125360000.610352","107129997.253418","112870002.746582","139070007.324219","149449996.948242","197399993.896484","258709991.455078","245119995.117188","282119995.117188","242740005.493164","268149993.896484","290440002.441406","398459991.455078","404760009.765625","462429992.675781","436350006.103516","641440002.441406","550659973.144531","609760009.765625","515320007.324219","488140014.648438","564390014.648438","461359985.351563","447040008.544922","604789978.027344","634539978.027344","1353619995.11719","471130004.882813","186550003.051758","266600006.103516","358720001.220703","248550003.051758","236240005.493164","190720001.220703","241710006.713867","276359985.351563","226729995.727539","409140014.648438","220190002.441406","231899993.896484","162660003.662109","49229999.5422363","",
"Albania","ALB","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9310000.4196167","17979999.5422363","16280000.6866455","462510009.765625","564469970.703125","403670013.427734","223320007.324219","225970001.220703","294089996.337891","233860000.610352","378950012.207031","702859985.351563","491399993.896484","424380004.882813","453309997.558594","443390014.648438","351829986.572266","354950012.207031","358019989.013672","307890014.648438","338510009.765625","339070007.324219","354040008.544922","346000000","335769989.013672","252880004.882813","260779998.779297","338049987.792969","179639999.389648","174789993.286133","344320007.324219","31409999.8474121","",
"Andorra","AND","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","4079999.92370605","5179999.82833862","3980000.01907349","3559999.94277954","4670000.07629395","119999.997317791","10300000.1907349","12359999.6566772","9739999.77111816","7000000","32500000","32279998.7792969","24530000.6866455","3579999.92370605","2480000.01907349","14770000.4577637","3619999.88555908","112849998.474121","4409999.84741211","16479999.5422363","9180000.30517578","-529999.971389771","11329999.9237061","10579999.9237061","8600000.38146973","10109999.6566772","72330001.8310547","200389999.389648","-21209999.0844727","-11279999.7329712","4840000.15258789","-12869999.8855591","-13060000.4196167","-14100000.3814697","-11119999.8855591","5309999.94277954","6849999.90463257","2329999.92370605","4739999.77111816","4610000.1335144","4969999.79019165","3869999.88555908","5699999.80926514","6179999.82833862","6050000.19073486","","","","","","","","","","","","","","","","",
"Argentina","ARG","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","219809997.558594","360019989.013672","346250000","205960006.713867","-34419998.1689453","-443170013.427734","-118819999.694824","64480003.3569336","-39759998.3215332","51549999.2370605","-33259998.3215332","29149999.6185303","6710000.03814697","61599998.4741211","64980003.3569336","43529998.7792969","50740001.6784668","51799999.2370605","43509998.3215332","65529998.7792969","96160003.6621094","89459999.0844727","76540000.9155273","89669998.1689453","87419998.1689453","104839996.337891","147119995.117188","139259994.506836","231080001.831055","337399993.896484","245860000.610352","382559997.558594","342170013.427734","357809997.558594","226820007.324219","165940002.441406","151779998.779297","130460006.713867","94230003.3569336","95779998.7792969","86069999.6948242","250639999.389648","150449996.948242","151419998.168945","110660003.662109","104379997.253418","124260002.13623","90389999.3896484","116230003.356934","109190002.441406","120459999.084473","90250000","173199996.948242","33770000.4577637","46130001.0681152","-21129999.1607666","3180000.0667572","-1779999.97138977","73110000.6103516","16420000.0762939","",
"Armenia","ARM","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4329999.92370605","35430000.3051758","170020004.272461","283829986.572266","285779998.779297","391549987.792969","228419998.168945","272119995.117188","292839996.337891","309010009.765625","312950012.207031","420119995.117188","321149993.896484","305250000","200429992.675781","242190002.441406","369589996.337891","299000000","397500000","316250000","367559997.558594","265359985.351563","268820007.324219","253000000","377299987.792969","359299987.792969","271679992.675781","141619995.117188","427980010.986328","",
"American Samoa","ASM","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
