,name,party,state,chamber,year,net_worth,pct_change
1544,Aaron Schock (R-Ill),R,Ill,House,2009,41302,
2104,Aaron Schock (R-Ill),R,Ill,House,2010,100913,1.443295724178006
2652,Aaron Schock (R-Ill),R,Ill,House,2011,144186,0.4288149197823867
3100,Aaron Schock (R-Ill),R,Ill,House,2012,535087,2.711088455189824
3588,Aaron Schock (R-Ill),R,Ill,House,2013,1023694,0.9131356209364085
4098,Aaron Schock (R-Ill),R,Ill,House,2014,1475001,0.4408612339234186
4574,Aaron Schock (R-Ill),R,Ill,House,2015,2100003,0.423729882217029
508,Adam H Putnam (R-Fla),R,Fla,House,2008,6716513,
1092,Adam H Putnam (R-Fla),R,Fla,House,2009,6453513,-0.039157223398510466
1679,Adam H Putnam (R-Fla),R,Fla,House,2010,7028012,0.08902112694279851
2650,Adam Kinzinger (R-Ill),R,Ill,House,2011,146003,
3203,Adam Kinzinger (R-Ill),R,Ill,House,2012,188503,0.2910899091114567
3757,Adam Kinzinger (R-Ill),R,Ill,House,2013,205002,0.08752645846485207
4275,Adam Kinzinger (R-Ill),R,Ill,House,2014,199002,-0.02926800714139377
4768,Adam Kinzinger (R-Ill),R,Ill,House,2015,358001,0.7989819197797008
5264,Adam Kinzinger (R-Ill),R,Ill,House,2016,189002,-0.4720629271985274
5804,Adam Kinzinger (R-Ill),R,Ill,House,2017,238002,0.2592565158040656
298,Adam Kinzinger (R-Ill),R,Ill,House,2018,413003,0.7352921404021815
788,Adam Schiff (D-Calif),D,Calif,House,2008,560507,
1303,Adam Schiff (D-Calif),D,Calif,House,2009,1015017,0.8108908541730968
1896,Adam Schiff (D-Calif),D,Calif,House,2010,1052016,0.03645160622925525
2456,Adam Schiff (D-Calif),D,Calif,House,2011,1024016,-0.026615564782284662
3018,Adam Schiff (D-Calif),D,Calif,House,2012,1119013,0.09276905829596416
3592,Adam Schiff (D-Calif),D,Calif,House,2013,1003014,-0.10366188775286789
4079,Adam Schiff (D-Calif),D,Calif,House,2014,1736021,0.7308043556720045
4593,Adam Schiff (D-Calif),D,Calif,House,2015,1674016,-0.03571673384135332
5186,Adam Schiff (D-Calif),D,Calif,House,2016,692011,-0.5866162569533386
5896,Adam Schiff (D-Calif),D,Calif,House,2017,-238990,-1.3453557819167614
200,Adam Schiff (D-Calif),D,Calif,House,2018,1436011,-7.008665634545379
877,Adam Smith (D-Wash),D,Wash,House,2008,228006,
1439,Adam Smith (D-Wash),D,Wash,House,2009,325507,0.4276247116303957
2007,Adam Smith (D-Wash),D,Wash,House,2010,407507,0.2519147053673192
2496,Adam Smith (D-Wash),D,Wash,House,2011,764005,0.8748266900936672
3152,Adam Smith (D-Wash),D,Wash,House,2012,354505,-0.5359912566017238
3708,Adam Smith (D-Wash),D,Wash,House,2013,354505,0.0
4230,Adam Smith (D-Wash),D,Wash,House,2014,379005,0.06911044978209047
4792,Adam Smith (D-Wash),D,Wash,House,2015,280005,-0.261210274270788
5367,Adam Smith (D-Wash),D,Wash,House,2016,-1995,-1.0071248727701292
5855,Adam Smith (D-Wash),D,Wash,House,2017,18005,-10.025062656641603
305,Adam Smith (D-Wash),D,Wash,House,2018,393006,20.82760344348792
907,Adrian Smith (R-Neb),R,Neb,House,2008,173003,
1482,Adrian Smith (R-Neb),R,Neb,House,2009,196504,0.13584157500158955
2029,Adrian Smith (R-Neb),R,Neb,House,2010,330006,0.6793856613605831
