Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
1980,1,33.5,26.6,39.9,24.7,42.0,23.6,43.2,1,2.4,1.4,2.6,1.2,3.4,1.0,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.3,2.6,1.2,3.4,1.0,4.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,37.9,29.3,45.1,27.1,48.8,25.6,51.2
1981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.3,1.8,1.2,2.0,0.9,2.3,1,1.2,1.0,1.2,0.7,1.4,0.5,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.9,2.3,3.0,1.9,3.4,1.4,4.1
1982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.6,2.4,2.8,2.0,2.8,1.8,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,1.2,2.0,1.1,2.2,0.1,2.6,3,4.4,3.6,4.8,3.1,5.0,1.9,6.0
1983,1,7.9,5.6,9.1,5.0,10.0,4.7,10.7,2,8.3,7.4,10.1,6.8,10.7,6.6,11.0,1,5.3,4.3,6.3,4.1,6.5,4.1,6.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,5.5,7.9,5.0,8.4,4.8,8.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29.5,22.8,33.4,20.9,35.6,20.2,36.9
1984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.6,2.5,2.9,2.2,3.3,2.0,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.6,2.5,2.9,2.2,3.3,2.0,3.6
1985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.3,2.2,3.7,2.0,4.1,1.8,4.4,1,3.0,2.4,3.1,2.3,3.5,2.1,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9.0,6.1,8.9,5.5,9.6,5.1,10.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,2.1,2.3,2.1,2.4,2.1,2.4,6,17.4,12.8,18.0,11.9,19.6,11.1,20.8
1986,1,4.3,3.5,5.0,3.2,5.4,3.0,5.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.3,0.9,1.3,0.9,1.4,0.8,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.6,4.4,6.3,4.1,6.8,3.8,7.1
1987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,1,45.0,34.3,54.8,31.7,57.2,30.6,58.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45.0,34.3,54.8,31.7,57.2,30.6,58.5
1989,1,6.5,5.7,7.5,5.3,7.7,5.1,8.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.3,3.3,5.3,3.1,5.5,3.1,5.5,1,1.2,1.1,1.2,1.0,1.4,0.9,1.5,1,19.3,17.4,20.2,16.9,20.8,16.5,21.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.4,1.7,1.3,1.8,1.3,1.8,5,32.8,28.9,35.9,27.6,37.2,26.9,38.1
